100;-34.6033337;-68.3576034;400
100;-34.568517;-58.768493;5000
109;-24.7843977;-65.5057491;1483
110;-34.5676664;-58.6730014;2830
111;-34.6597175;-58.6882384;630
123;-36.902861;-60.2946634;362.4
123;-36.667095;-56.6866097;600
130;-34.5853258;-58.7406197;4999
130;-34.5727699;-58.7438464;8763
130;-34.5726969;-58.7434772;8826
130;-34.4875021;-58.6549861;3426
135;-34.6128621;-58.7408128;2056
160;-34.6556607;-58.6399767;670
167;-34.425869;-58.623357;620
200;-34.370699;-58.667614;1100
252;-34.9028881;-58.677202;700
270;-34.6281895;-58.7345345;4610
270;-34.436142;-58.8229904;13062
300;-34.670419;-58.33906;12015
300;-34.5918267;-58.7525495;546
320;-34.5167756;-58.565524;3900
330;-34.8489092;-58.5077812;329
350;-34.881934;-58.6859709;3700
350;-34.4471139;-58.8948304;6747
370;-34.617147;-58.82449;742.5
380;-34.3284498;-58.8591473;7405
390;-34.8015428;-58.4603942;3600
400;-38.8817132;-62.0787687;872
400;-38.686285;-62.308759;3275
400;-34.5610999;-58.7438043;1548.72
400;-34.5126216;-58.7258941;400
400;-34.51246;-58.726174;400
400;-34.5120853;-58.7265963;400
400;-34.4654626;-58.8018484;2938
450;-34.617359;-58.824748;898
500;-34.5704738;-58.8470725;2000
500;-34.543055;-58.7118577;2080
500;-34.441511;-58.782729;1200
500;-32.9425488;-68.7528806;2800
550;-27.6341945;-56.8137084;3024
583;-34.150099;-59.093822;1028.53
600;-34.5979161;-58.9311951;1623
600;-34.50899;-58.521897;210
600;-31.4123521;-64.5030677;2683
700;-34.6120009;-58.769356;1414.75
800;-34.6767359;-58.5644053;562
800;-34.476782;-58.659983;300
800;-34.3829887;-58.747673;1300
800;-34.3823787;-59.0843199;2316
850;-34.6088315;-59.1760987;3400
949;-34.4502335;-58.8069916;275
1000;-38.675208;-62.2287216;34000
1000;-38.2474618;-57.8697918;10000
1000;-36.5440512;-56.6903929;450
1000;-36.4870244;-56.6931113;450
1000;-34.9188482;-58.4083116;10000
1000;-34.8737354;-58.5868565;1237
1000;-34.653474;-58.9389038;20000
1000;-34.6399803;-58.5542641;500
1000;-34.6399494;-58.550161;500
1000;-34.599743;-58.9199113;2700
1000;-34.5768561;-58.5341839;299
1000;-34.4457865;-58.8646173;1750
1000;-34.4110707;-58.6110619;540
1000;-34.3501128;-58.6961241;2022
1000;-25.1202353;-66.1624965;14500
1100;-34.8916105;-57.9477062;6000
1111;-34.6521645;-58.4688568;708
1111;-34.2914988;-58.8914581;1460000
1120;-34.618667;-58.823977;2240
1120;-34.618349;-58.823462;2240
1200;-34.481348;-58.875844;9920
1209;-34.4507409;-58.8664926;1209
1234;-34.677472;-59.433607;1050
1300;-34.6481079;-58.6888316;3800
1300;-34.6430425;-58.5783918;387
1434;-34.6127888;-58.7701882;2607.23
1500;-34.8123295;-58.452413;1900
1500;-34.6978216;-58.6972496;638.43
1500;-34.665449;-59.409988;16322
1500;-34.62169;-58.831831;2400
1500;-34.609626;-58.873501;5928
1500;-34.6036844;-58.3815591;976
1500;-34.5444642;-58.6993247;2000
1500;-34.5353668;-58.8111812;5880
1500;-34.476928;-58.6600033;210
1500;-34.4354865;-58.8151794;4357
1500;-34.4049454;-58.7332573;1183
1600;-34.5585856;-58.7095548;1000
1600;-34.3929805;-58.7371322;1730
1680;-34.9727454;-58.3846356;250
1800;-34.65378;-58.376856;3120000
1800;-34.4294508;-58.5903297;447
2000;-34.7221007;-58.5157886;1106
2000;-34.634979;-58.77308;3300
2000;-34.6286147;-58.77924;1127
2000;-34.6160591;-58.9867411;250
2000;-34.5780867;-58.5392204;918
2000;-34.4476799;-58.8052387;1885
2000;-34.440505;-58.7897472;1885
2000;-34.43071;-58.994409;18000
2000;-34.4264963;-58.9977783;12848
2000;-34.3049237;-58.8010956;360
2222;-34.8918955;-58.1730404;19000
2250;-34.61796;-58.823783;4500
2355;-32.3402578;-65.1705326;800
2486;-32.5731668;-64.9851305;1000
